19:24:26  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:43  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:43  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:26:43  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:43  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:43  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:43  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:43  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:43  L -> UBX CFG,  Size  10,  'Config'
19:26:44  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:44  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:44  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:44  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:26:44  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:44  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:44  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:44  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:44  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:44  L -> UBX CFG,  Size  10,  'Config'
19:26:45  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:45  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:45  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:45  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:26:45  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:45  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:45  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:45  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:45  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:45  L -> UBX CFG,  Size  10,  'Config'
19:26:46  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:46  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:46  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:46  L -> NMEA GPGSA,  Size  58,  'GNSS DOP and Active Satellites'
19:26:46  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:46  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:46  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:46  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:46  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:47  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:47  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:47  L -> UBX CFG,  Size  10,  'Config'
19:26:47  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:47  L -> NMEA GPGSA,  Size  58,  'GNSS DOP and Active Satellites'
19:26:47  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:47  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:47  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:26:47  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:47  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:48  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:48  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:48  L -> UBX CFG,  Size  10,  'Config'
19:26:48  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:48  L -> NMEA GPGSA,  Size  58,  'GNSS DOP and Active Satellites'
19:26:48  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:48  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:48  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:26:48  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:48  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:49  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:49  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:49  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:49  L -> NMEA GPGSA,  Size  58,  'GNSS DOP and Active Satellites'
19:26:49  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:49  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:49  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:26:49  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:49  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:49  L -> UBX CFG,  Size  10,  'Config'
19:26:50  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:50  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:50  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:50  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:26:50  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:50  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:50  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:50  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:50  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:50  L -> UBX CFG,  Size  10,  'Config'
19:26:51  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:51  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:51  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:51  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:26:51  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:51  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:51  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:51  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:51  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:51  L -> UBX CFG,  Size  10,  'Config'
19:26:52  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:52  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:52  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:52  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:26:52  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:52  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:52  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:52  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:52  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:52  L -> UBX CFG,  Size  10,  'Config'
19:26:53  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:53  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:53  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:53  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:26:53  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:53  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:53  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:53  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:53  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:54  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:54  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:54  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:54  L -> UBX CFG,  Size  10,  'Config'
19:26:54  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:26:54  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:54  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:54  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:54  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:54  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:55  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:55  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:55  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:55  L -> UBX CFG,  Size  10,  'Config'
19:26:55  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:26:55  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:55  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:55  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:55  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:55  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:56  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:56  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:56  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:56  L -> UBX CFG,  Size  10,  'Config'
19:26:56  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:26:56  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:56  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:56  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:56  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:56  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:57  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:57  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:57  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:57  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:26:57  L -> UBX CFG,  Size  10,  'Config'
19:26:57  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:57  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:57  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:57  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:57  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:58  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:58  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:58  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:58  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:26:58  L -> UBX CFG,  Size  10,  'Config'
19:26:58  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:58  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:58  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:58  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:58  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:59  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:59  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:59  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:59  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:26:59  L -> UBX CFG,  Size  10,  'Config'
19:26:59  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:59  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:59  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:59  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:59  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:00  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:00  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:00  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:00  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:27:00  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:00  L -> UBX CFG,  Size  10,  'Config'
19:27:00  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:00  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:00  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:27:00  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:01  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:01  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:01  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:01  L -> NMEA GPGSA,  Size  58,  'GNSS DOP and Active Satellites'
19:27:01  L -> UBX CFG,  Size  10,  'Config'
19:27:01  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:01  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:27:01  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:27:01  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:27:01  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:02  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:02  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:02  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:02  L -> NMEA GPGSA,  Size  58,  'GNSS DOP and Active Satellites'
19:27:02  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:02  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:02  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:02  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:27:02  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:02  L -> UBX CFG,  Size  10,  'Config'
19:27:03  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:03  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:03  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:03  L -> NMEA GPGSA,  Size  58,  'GNSS DOP and Active Satellites'
19:27:03  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:03  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:03  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:27:03  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:27:03  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:03  L -> UBX CFG,  Size  10,  'Config'
19:27:04  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:04  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:04  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:04  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:27:04  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:04  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:04  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:04  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:27:04  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:04  L -> UBX CFG,  Size  10,  'Config'
19:27:05  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:05  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:05  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:05  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:27:05  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:05  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:05  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:05  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:27:05  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:06  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:06  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:06  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:06  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:27:06  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:06  L -> UBX CFG,  Size  10,  'Config'
19:27:06  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:06  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:06  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:27:06  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:07  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:07  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:07  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:07  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:27:07  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:07  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:07  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:07  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:27:07  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:07  L -> UBX CFG,  Size  10,  'Config'
19:27:08  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:08  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:08  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:08  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:27:08  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:08  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:08  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:08  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:27:08  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:08  L -> UBX CFG,  Size  10,  'Config'
19:27:09  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:09  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:09  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:09  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:27:09  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:09  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:09  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:09  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:27:09  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:09  L -> UBX CFG,  Size  10,  'Config'
19:27:10  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:10  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:10  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:10  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:27:10  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:10  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:10  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:10  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:27:10  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:10  L -> UBX CFG,  Size  10,  'Config'
19:27:11  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:11  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:11  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:11  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:27:11  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:11  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:11  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:11  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:27:11  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:11  L -> UBX CFG,  Size  10,  'Config'
19:27:12  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:12  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:12  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:12  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:27:12  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:12  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:12  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:12  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:27:12  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:12  L -> UBX CFG,  Size  10,  'Config'
19:27:13  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:13  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:13  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:13  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:27:13  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:13  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:13  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:13  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:27:13  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:13  L -> UBX CFG,  Size  10,  'Config'
19:27:14  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:14  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:14  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:14  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:27:14  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:14  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:14  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:14  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:27:14  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:15  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:15  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:15  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:15  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:27:15  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:15  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:15  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:15  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:27:15  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:15  L -> UBX CFG,  Size  10,  'Config'
19:27:16  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:16  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:16  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:16  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:27:16  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:16  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:16  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:16  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:27:16  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:16  L -> UBX CFG,  Size  10,  'Config'
19:27:17  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:17  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:17  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:17  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:27:17  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:17  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:17  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:17  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:27:17  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:18  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:18  L -> UBX CFG,  Size  10,  'Config'
